time,protocol,node_id,candidate_parent,energy_ratio,distance_ratio,queue_ratio,link_quality,Q_value,state_value,selection_value,selected_parent,reward,updated_Q_value,decision_mode
0.00000,Traditional RPL,19,8,0.97680,0.15648,0.30000,0.69352,,0.84352,0.84352,8,,,traditional
0.00000,Traditional RPL,19,25,0.98260,0.19152,0.40000,0.60848,,0.80848,0.80848,8,,,traditional
0.00000,Traditional RPL,19,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,8,,,traditional
0.00000,Traditional RPL,8,0,1.00000,0.00000,1.00000,0.25000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,8,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,20,3,0.99365,0.29520,0.00000,0.70480,,0.70480,0.70480,8,,,traditional
0.00000,Traditional RPL,20,8,0.97050,0.15648,0.40000,0.64352,,0.84352,0.84352,8,,,traditional
0.00000,Traditional RPL,20,11,0.99494,0.36440,0.00000,0.63560,,0.63560,0.63560,8,,,traditional
0.00000,Traditional RPL,20,15,0.99511,0.36265,0.00000,0.63735,,0.63735,0.63735,8,,,traditional
0.00000,Traditional RPL,20,19,0.99527,0.35008,0.00000,0.64992,,0.64992,0.64992,8,,,traditional
0.00000,Traditional RPL,20,25,0.98260,0.19152,0.40000,0.60848,,0.80848,0.80848,8,,,traditional
0.00000,Traditional RPL,20,28,1.00000,0.18391,0.00000,0.81609,,0.81609,0.81609,8,,,traditional
0.00000,Traditional RPL,8,0,1.00000,0.00000,1.00000,0.20000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,8,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
0.00000,Traditional RPL,21,1,0.98346,0.49503,0.10000,0.45497,,0.50497,0.50497,25,,,traditional
0.00000,Traditional RPL,21,5,0.99536,0.47664,0.00000,0.52336,,0.52336,0.52336,25,,,traditional
0.00000,Traditional RPL,21,25,0.98260,0.19152,0.40000,0.60848,,0.80848,0.80848,25,,,traditional
0.00000,Traditional RPL,25,0,1.00000,0.00000,1.00000,0.15000,,1.00000,1.00000,0,,,traditional
0.00000,Traditional RPL,25,8,0.96420,0.15648,0.50000,0.59352,,0.84352,0.84352,0,,,traditional
0.00000,Traditional RPL,25,18,0.98986,0.13214,0.10000,0.81786,,0.86786,0.86786,0,,,traditional
