time,total_energy_consumed,average_remaining_energy,alive_nodes,active_sensors,dead_nodes,generated_packets,delivered_packets,lost_packets,packet_delivery_ratio,average_delay,communication_overhead,parent_changes,current_packet_id,current_source_sensor_id,current_temperature,selected_route_path,last_packet_status
48.0,5.936164931968413,1.8021278356010528,30,29,0,300,64,236,0.21333333333333335,16.941036907441813,460,21,,,,,
49.0,5.936164931968413,1.8021278356010528,30,29,0,300,64,236,0.21333333333333335,16.941036907441813,460,21,,,,,
50.0,6.528818226292614,1.7823727257902462,30,29,0,330,68,262,0.20606060606060606,18.007335760871722,505,24,RL-00330,30,25.791181287364736,30 -> 18 -> 0,delivered
51.0,6.528818226292614,1.7823727257902462,30,29,0,330,68,262,0.20606060606060606,18.007335760871722,505,24,,,,,
52.0,6.528818226292614,1.7823727257902462,30,29,0,330,68,262,0.20606060606060606,18.007335760871722,505,24,,,,,
53.0,6.528818226292614,1.7823727257902462,30,29,0,330,68,262,0.20606060606060606,18.007335760871722,505,24,,,,,
54.0,6.528818226292614,1.7823727257902462,30,29,0,330,68,262,0.20606060606060606,18.007335760871722,505,24,,,,,
55.0,7.081776873107813,1.7639407708964063,30,29,0,360,72,288,0.2,19.042969885267738,547,26,RL-00360,30,23.75147336611552,30 -> 18 -> 0,lost
56.0,7.081776873107813,1.7639407708964063,30,29,0,360,72,288,0.2,19.042969885267738,547,26,,,,,
57.0,7.081776873107813,1.7639407708964063,30,29,0,360,72,288,0.2,19.042969885267738,547,26,,,,,
58.0,7.081776873107813,1.7639407708964063,30,29,0,360,72,288,0.2,19.042969885267738,547,26,,,,,
59.0,7.081776873107813,1.7639407708964063,30,29,0,360,72,288,0.2,19.042969885267738,547,26,,,,,
60.0,7.652176692996612,1.7449274435667796,30,29,0,390,76,314,0.19487179487179487,20.059061972345468,590,29,RL-00390,30,23.507328533173748,30 -> 18,lost
61.0,7.652176692996612,1.7449274435667796,30,29,0,390,76,314,0.19487179487179487,20.059061972345468,590,29,,,,,
62.0,7.652176692996612,1.7449274435667796,30,29,0,390,76,314,0.19487179487179487,20.059061972345468,590,29,,,,,
63.0,7.652176692996612,1.7449274435667796,30,29,0,390,76,314,0.19487179487179487,20.059061972345468,590,29,,,,,
64.0,7.652176692996612,1.7449274435667796,30,29,0,390,76,314,0.19487179487179487,20.059061972345468,590,29,,,,,
65.0,8.167775013568637,1.7277408328810455,30,29,0,420,79,341,0.1880952380952381,20.764382403775386,628,30,RL-00420,30,22.617456813520903,30 -> 18 -> 0,lost
66.0,8.167775013568637,1.7277408328810455,30,29,0,420,79,341,0.1880952380952381,20.764382403775386,628,30,,,,,
67.0,8.167775013568637,1.7277408328810455,30,29,0,420,79,341,0.1880952380952381,20.764382403775386,628,30,,,,,
68.0,8.167775013568637,1.7277408328810455,30,29,0,420,79,341,0.1880952380952381,20.764382403775386,628,30,,,,,
69.0,8.167775013568637,1.7277408328810455,30,29,0,420,79,341,0.1880952380952381,20.764382403775386,628,30,,,,,
